Date,Short_Sector,Group,Value
1961-10-01,Manufacturing Total,Manufacturing,39.2
1961-11-01,Mining,Mining,495.7
1961-11-01,Manufacturing Total,Manufacturing,39.1
1961-12-01,Mining,Mining,496.1
1961-12-01,Manufacturing Total,Manufacturing,39
1962-01-01,Mining,Mining,496.4
1962-01-01,Manufacturing Total,Manufacturing,39
1962-02-01,Mining,Mining,497.3
1962-02-01,Manufacturing Total,Manufacturing,39.1
1962-03-01,Mining,Mining,499.2
1962-03-01,Manufacturing Total,Manufacturing,39.3
1962-04-01,Mining,Mining,502.2
1962-04-01,Manufacturing Total,Manufacturing,39.5
1962-05-01,Mining,Mining,506
1962-05-01,Manufacturing Total,Manufacturing,39.8
1962-06-01,Mining,Mining,510.2
1962-06-01,Manufacturing Total,Manufacturing,40
1962-07-01,Mining,Mining,513.4
1962-07-01,Manufacturing Total,Manufacturing,40.1
1962-08-01,Mining,Mining,513.7
1962-08-01,Manufacturing Total,Manufacturing,40.1
1962-09-01,Mining,Mining,510.5
1962-09-01,Manufacturing Total,Manufacturing,40
1962-10-01,Mining,Mining,505.4
1962-10-01,Manufacturing Total,Manufacturing,39.9
1962-11-01,Mining,Mining,501.2
1962-11-01,Manufacturing Total,Manufacturing,39.6
1962-12-01,Mining,Mining,499.8
1962-12-01,Manufacturing Total,Manufacturing,39.2
1963-01-01,Mining,Mining,500.9
1963-01-01,Manufacturing Total,Manufacturing,38.9
1963-02-01,Mining,Mining,503.3
1963-02-01,Manufacturing Total,Manufacturing,38.9
1963-03-01,Mining,Mining,506
1963-03-01,Manufacturing Total,Manufacturing,39.2
1963-04-01,Mining,Mining,508.2
1963-04-01,Manufacturing Total,Manufacturing,39.8
1963-05-01,Mining,Mining,509.5
1963-05-01,Manufacturing Total,Manufacturing,40.4
1963-06-01,Mining,Mining,509.3
1963-06-01,Manufacturing Total,Manufacturing,41
1963-07-01,Mining,Mining,507.1
1963-07-01,Manufacturing Total,Manufacturing,41.5
1963-08-01,Mining,Mining,502.7
1963-08-01,Manufacturing Total,Manufacturing,41.9
1963-09-01,Mining,Mining,496.6
1963-09-01,Manufacturing Total,Manufacturing,42.1
1963-10-01,Mining,Mining,492.2
1963-10-01,Manufacturing Total,Manufacturing,42.4
1963-11-01,Mining,Mining,494
1963-11-01,Manufacturing Total,Manufacturing,42.7
1963-12-01,Mining,Mining,503.5
1963-12-01,Manufacturing Total,Manufacturing,43.3
1964-01-01,Mining,Mining,514.3
1964-01-01,Manufacturing Total,Manufacturing,43.9
1964-02-01,Mining,Mining,517.6
1964-02-01,Manufacturing Total,Manufacturing,44.3
1964-03-01,Mining,Mining,508
1964-03-01,Manufacturing Total,Manufacturing,44.4
1964-04-01,Mining,Mining,492.1
1964-04-01,Manufacturing Total,Manufacturing,44.3
1964-05-01,Mining,Mining,479.9
1964-05-01,Manufacturing Total,Manufacturing,44.2
1964-06-01,Mining,Mining,478.3
1964-06-01,Manufacturing Total,Manufacturing,44.1
1964-07-01,Mining,Mining,483.8
1964-07-01,Manufacturing Total,Manufacturing,44.3
1964-08-01,Mining,Mining,489.6
1964-08-01,Manufacturing Total,Manufacturing,44.6
1964-09-01,Mining,Mining,490.7
1964-09-01,Manufacturing Total,Manufacturing,45.1
1964-10-01,Mining,Mining,488.5
1964-10-01,Manufacturing Total,Manufacturing,45.7
1964-11-01,Mining,Mining,486.2
1964-11-01,Manufacturing Total,Manufacturing,46
1964-12-01,Mining,Mining,486.2
1964-12-01,Manufacturing Total,Manufacturing,46
1965-01-01,Mining,Mining,487
1965-01-01,Manufacturing Total,Manufacturing,45.9
1965-02-01,Mining,Mining,486.3
1965-02-01,Manufacturing Total,Manufacturing,45.8
1965-03-01,Mining,Mining,482.3
1965-03-01,Manufacturing Total,Manufacturing,45.8
1965-04-01,Mining,Mining,476
1965-04-01,Manufacturing Total,Manufacturing,45.9
1965-05-01,Mining,Mining,469
1965-05-01,Manufacturing Total,Manufacturing,45.9
1965-06-01,Mining,Mining,462.9
1965-06-01,Manufacturing Total,Manufacturing,45.9
1965-07-01,Mining,Mining,459.5
1965-07-01,Manufacturing Total,Manufacturing,45.8
1965-08-01,Mining,Mining,460.7
1965-08-01,Manufacturing Total,Manufacturing,45.8
1965-09-01,Mining,Mining,466.5
1965-09-01,Manufacturing Total,Manufacturing,45.9
1965-10-01,Mining,Mining,472
1965-10-01,Manufacturing Total,Manufacturing,46.2
1965-11-01,Mining,Mining,470.2
1965-11-01,Manufacturing Total,Manufacturing,46.6
1965-12-01,Mining,Mining,458.1
1965-12-01,Manufacturing Total,Manufacturing,47
1966-01-01,Mining,Mining,442.9
1966-01-01,Manufacturing Total,Manufacturing,47.3
1966-02-01,Mining,Mining,435.4
1966-02-01,Manufacturing Total,Manufacturing,47.4
1966-03-01,Mining,Mining,441.7
1966-03-01,Manufacturing Total,Manufacturing,47.3
1966-04-01,Mining,Mining,453.2
1966-04-01,Manufacturing Total,Manufacturing,47
1966-05-01,Mining,Mining,456.4
1966-05-01,Manufacturing Total,Manufacturing,46.9
1966-06-01,Mining,Mining,443.6
1966-06-01,Manufacturing Total,Manufacturing,47.2
1966-07-01,Mining,Mining,423.8
1966-07-01,Manufacturing Total,Manufacturing,47.5
1966-08-01,Mining,Mining,411.6
1966-08-01,Manufacturing Total,Manufacturing,47.4
1966-09-01,Mining,Mining,416.3
1966-09-01,Manufacturing Total,Manufacturing,46.8
1966-10-01,Mining,Mining,430.9
1966-10-01,Manufacturing Total,Manufacturing,46
1966-11-01,Mining,Mining,443.3
1966-11-01,Manufacturing Total,Manufacturing,45.5
1966-12-01,Mining,Mining,444.9
1966-12-01,Manufacturing Total,Manufacturing,45.6
1967-01-01,Mining,Mining,439.3
1967-01-01,Manufacturing Total,Manufacturing,46.1
1967-02-01,Mining,Mining,433.6
1967-02-01,Manufacturing Total,Manufacturing,46.6
1967-03-01,Mining,Mining,432.7
1967-03-01,Manufacturing Total,Manufacturing,46.9
1967-04-01,Mining,Mining,432.9
1967-04-01,Manufacturing Total,Manufacturing,47
1967-05-01,Mining,Mining,428.1
1967-05-01,Manufacturing Total,Manufacturing,46.9
1967-06-01,Mining,Mining,415.7
1967-06-01,Manufacturing Total,Manufacturing,46.9
1967-07-01,Mining,Mining,403.6
1967-07-01,Manufacturing Total,Manufacturing,47
1967-08-01,Mining,Mining,402.9
1967-08-01,Manufacturing Total,Manufacturing,47
1967-09-01,Mining,Mining,419.4
1967-09-01,Manufacturing Total,Manufacturing,47.1
1967-10-01,Mining,Mining,441.3
1967-10-01,Manufacturing Total,Manufacturing,47.3
1967-11-01,Mining,Mining,451.1
1967-11-01,Manufacturing Total,Manufacturing,47.8
1967-12-01,Mining,Mining,438.2
1967-12-01,Manufacturing Total,Manufacturing,48.6
1968-01-01,Mining,Mining,400.7
1968-01-01,Manufacturing Total,Manufacturing,49.3
1968-02-01,Mining,Mining,395.6
1968-02-01,Manufacturing Total,Manufacturing,50
1968-03-01,Mining,Mining,392.8
1968-03-01,Manufacturing Total,Manufacturing,50.5
1968-04-01,Mining,Mining,386
1968-04-01,Manufacturing Total,Manufacturing,50.1
1968-05-01,Mining,Mining,389.2
1968-05-01,Manufacturing Total,Manufacturing,50.4
1968-06-01,Mining,Mining,377.3
1968-06-01,Manufacturing Total,Manufacturing,50.6
1968-07-01,Mining,Mining,378.3
1968-07-01,Manufacturing Total,Manufacturing,50.6
1968-08-01,Mining,Mining,375.5
1968-08-01,Manufacturing Total,Manufacturing,51.1
1968-09-01,Mining,Mining,368.9
1968-09-01,Manufacturing Total,Manufacturing,51
1968-10-01,Mining,Mining,366.3
1968-10-01,Manufacturing Total,Manufacturing,50.9
1968-11-01,Mining,Mining,373.7
1968-11-01,Manufacturing Total,Manufacturing,51.2
1968-12-01,Mining,Mining,370.2
1968-12-01,Manufacturing Total,Manufacturing,51.8
1969-01-01,Mining,Mining,380
1969-01-01,Manufacturing Total,Manufacturing,52
1969-02-01,Mining,Mining,364.3
1969-02-01,Manufacturing Total,Manufacturing,52
1969-03-01,Mining,Mining,363.1
1969-03-01,Manufacturing Total,Manufacturing,51.9
1969-04-01,Mining,Mining,360.7
1969-04-01,Manufacturing Total,Manufacturing,52.7
1969-05-01,Mining,Mining,358.9
1969-05-01,Manufacturing Total,Manufacturing,52.7
1969-06-01,Mining,Mining,358.2
1969-06-01,Manufacturing Total,Manufacturing,53.2
1969-07-01,Mining,Mining,355.4
1969-07-01,Manufacturing Total,Manufacturing,53.2
1969-08-01,Mining,Mining,346
1969-08-01,Manufacturing Total,Manufacturing,52.4
1969-09-01,Mining,Mining,350.3
1969-09-01,Manufacturing Total,Manufacturing,52.3
1969-10-01,Mining,Mining,284.9
1969-10-01,Manufacturing Total,Manufacturing,52.1
1969-11-01,Mining,Mining,344.2
1969-11-01,Manufacturing Total,Manufacturing,52.7
1969-12-01,Mining,Mining,349
1969-12-01,Manufacturing Total,Manufacturing,53
1970-01-01,Mining,Mining,339.4
1970-01-01,Manufacturing Total,Manufacturing,51.5
1970-02-01,Mining,Mining,347
1970-02-01,Manufacturing Total,Manufacturing,52.4
1970-03-01,Mining,Mining,342.9
1970-03-01,Manufacturing Total,Manufacturing,52.8
1970-04-01,Mining,Mining,338.9
1970-04-01,Manufacturing Total,Manufacturing,52.7
1970-05-01,Mining,Mining,330.2
1970-05-01,Manufacturing Total,Manufacturing,52.6
1970-06-01,Mining,Mining,332.3
1970-06-01,Manufacturing Total,Manufacturing,52.8
1970-07-01,Mining,Mining,320.8
1970-07-01,Manufacturing Total,Manufacturing,52.7
1970-08-01,Mining,Mining,333.2
1970-08-01,Manufacturing Total,Manufacturing,52.8
1970-09-01,Mining,Mining,329.7
1970-09-01,Manufacturing Total,Manufacturing,52.5
1970-10-01,Mining,Mining,322.8
1970-10-01,Manufacturing Total,Manufacturing,53.3
1970-11-01,Mining,Mining,249.7
1970-11-01,Manufacturing Total,Manufacturing,53
1970-12-01,Mining,Mining,321.8
1970-12-01,Manufacturing Total,Manufacturing,53
1971-01-01,Mining,Mining,332.9
1971-01-01,Manufacturing Total,Manufacturing,53.4
1971-02-01,Mining,Mining,334.5
1971-02-01,Manufacturing Total,Manufacturing,52.1
1971-03-01,Mining,Mining,334.2
1971-03-01,Manufacturing Total,Manufacturing,51.3
1971-04-01,Mining,Mining,335.3
1971-04-01,Manufacturing Total,Manufacturing,52.1
1971-05-01,Mining,Mining,331.2
1971-05-01,Manufacturing Total,Manufacturing,52.7
1971-06-01,Mining,Mining,331
1971-06-01,Manufacturing Total,Manufacturing,52.1
1971-07-01,Mining,Mining,328.4
1971-07-01,Manufacturing Total,Manufacturing,52.1
1971-08-01,Mining,Mining,328.9
1971-08-01,Manufacturing Total,Manufacturing,52.1
1971-09-01,Mining,Mining,318.4
1971-09-01,Manufacturing Total,Manufacturing,51.9
1971-10-01,Mining,Mining,316.2
1971-10-01,Manufacturing Total,Manufacturing,51.8
1971-11-01,Mining,Mining,277
1971-11-01,Manufacturing Total,Manufacturing,51.7
1971-12-01,Mining,Mining,261.2
1971-12-01,Manufacturing Total,Manufacturing,52.5
1972-01-01,Mining,Mining,112.6
1972-01-01,Manufacturing Total,Manufacturing,51.8
1972-02-01,Mining,Mining,31.8
1972-02-01,Manufacturing Total,Manufacturing,48.1
1972-03-01,Mining,Mining,221.8
1972-03-01,Manufacturing Total,Manufacturing,51.8
1972-04-01,Mining,Mining,294.5
1972-04-01,Manufacturing Total,Manufacturing,52.5
1972-05-01,Mining,Mining,303.4
1972-05-01,Manufacturing Total,Manufacturing,53.5
1972-06-01,Mining,Mining,308.1
1972-06-01,Manufacturing Total,Manufacturing,53.4
1972-07-01,Mining,Mining,301
1972-07-01,Manufacturing Total,Manufacturing,53
1972-08-01,Mining,Mining,297.6
1972-08-01,Manufacturing Total,Manufacturing,53.6
1972-09-01,Mining,Mining,304
1972-09-01,Manufacturing Total,Manufacturing,54.3
1972-10-01,Mining,Mining,307.6
1972-10-01,Manufacturing Total,Manufacturing,55.2
1972-11-01,Mining,Mining,305.8
1972-11-01,Manufacturing Total,Manufacturing,55.6
1972-12-01,Mining,Mining,292.8
1972-12-01,Manufacturing Total,Manufacturing,56.3
1973-01-01,Mining,Mining,307.6
1973-01-01,Manufacturing Total,Manufacturing,58
1973-02-01,Mining,Mining,303.4
1973-02-01,Manufacturing Total,Manufacturing,57.5
1973-03-01,Mining,Mining,303.2
1973-03-01,Manufacturing Total,Manufacturing,58.2
1973-04-01,Mining,Mining,304.5
1973-04-01,Manufacturing Total,Manufacturing,57.4
1973-05-01,Mining,Mining,301.6
1973-05-01,Manufacturing Total,Manufacturing,57.5
1973-06-01,Mining,Mining,305.2
1973-06-01,Manufacturing Total,Manufacturing,58.8
