Date,Short_Sector,Group,Value,Region
1948-09-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,5.1964296906010565,US
1948-09-01,Manufacturing Total,Manufacturing,13.2976,US
1948-09-01,Manufacturing Total Growth,Manufacturing Growth,0.18382906910163752,US
1948-09-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,1.7370256994376332,US
1948-09-01,Durable Manufacturing,Manufacturing,7.6135,US
1948-09-01,Durable Manufacturing Growth,Manufacturing Growth,0.1908145808658945,US
1948-09-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,1.6148035515007653,US
1948-09-01,Mining,Mining,51.7951,US
1948-09-01,Mining Growth,Mining Growth,-2.0779215868658607,US
1948-09-01,Mining 3mo3m Growth,Mining 3mo3m Growth,2.913494954187712,US
1948-09-01,Electric and Gas Utilities,Utilities,7.5715,US
1948-09-01,Electric and Gas Utilities Growth,Utilities Growth,1.360125302882231,US
1948-09-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,3.0303030303030276,US
1948-10-01,Total Index,Total,14.5963,US
1948-10-01,Total Index Growth,Total Growth,0.7426477185668912,US
1948-10-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-0.18417889574925408,US
1948-10-01,Final Products,Products,15.4955,US
1948-10-01,Final Products Growth,Products Growth,0.93407416574931,US
1948-10-01,Final Products 3mo3m Growth,Products 3mo3m Growth,0.24848646203330385,US
1948-10-01,Consumer Goods,Consumer Goods,20.9432,US
1948-10-01,Consumer Goods Growth,Consumer Goods Growth,1.121631604614004,US
1948-10-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-0.4932251221516637,US
1948-10-01,Durable Consumer Goods,Consumer Goods,13.7771,US
1948-10-01,Durable Consumer Goods Growth,Consumer Goods Growth,3.1652489067273804,US
1948-10-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,0.48912616013843113,US
1948-10-01,Automotive Products,Consumer Goods,13.808,US
1948-10-01,Automotive Products Growth,Consumer Goods Growth,8.79551202754556,US
1948-10-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,1.7252498375040837,US
1948-10-01,Manufacturing Total,Manufacturing,13.322,US
1948-10-01,Manufacturing Total Growth,Manufacturing Growth,0.18349175791119168,US
1948-10-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-0.5474616328117965,US
1948-10-01,Durable Manufacturing,Manufacturing,7.7879,US
1948-10-01,Durable Manufacturing Growth,Manufacturing Growth,2.2906678925592727,US
1948-10-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,0.6996313581954849,US
1948-10-01,Mining,Mining,52.4133,US
1948-10-01,Mining Growth,Mining Growth,1.1935491967386858,US
1948-10-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-1.2522093745364282,US
1948-10-01,Electric and Gas Utilities,Utilities,7.6477,US
1948-10-01,Electric and Gas Utilities Growth,Utilities Growth,1.00640559994718,US
1948-10-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,3.118211153024597,US
1948-11-01,Total Index,Total,14.4081,US
1948-11-01,Total Index Growth,Total Growth,-1.2893678534971251,US
1948-11-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-0.9183027232425588,US
1948-11-01,Final Products,Products,15.3234,US
1948-11-01,Final Products Growth,Products Growth,-1.1106450259752876,US
1948-11-01,Final Products 3mo3m Growth,Products 3mo3m Growth,-0.4948211876570685,US
1948-11-01,Consumer Goods,Consumer Goods,20.7109,US
1948-11-01,Consumer Goods Growth,Consumer Goods Growth,-1.1091905725963636,US
1948-11-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-0.861431734833551,US
1948-11-01,Durable Consumer Goods,Consumer Goods,13.2549,US
1948-11-01,Durable Consumer Goods Growth,Consumer Goods Growth,-3.7903477509780847,US
1948-11-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-2.345229142839189,US
1948-11-01,Automotive Products,Consumer Goods,12.8373,US
1948-11-01,Automotive Products Growth,Consumer Goods Growth,-7.029982618771724,US
1948-11-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,-3.5694762104375277,US
1948-11-01,Manufacturing Total,Manufacturing,13.2,US
1948-11-01,Manufacturing Total Growth,Manufacturing Growth,-0.9157784116499036,US
1948-11-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-0.6090316396928919,US
1948-11-01,Durable Manufacturing,Manufacturing,7.7588,US
1948-11-01,Durable Manufacturing Growth,Manufacturing Growth,-0.3736565698070016,US
1948-11-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,1.1419862262923353,US
1948-11-01,Mining,Mining,51.589,US
1948-11-01,Mining Growth,Mining Growth,-1.5726924273037568,US
1948-11-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-1.9879540052869624,US
1948-11-01,Electric and Gas Utilities,Utilities,7.7239,US
1948-11-01,Electric and Gas Utilities Growth,Utilities Growth,0.9963779959987872,US
1948-11-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,3.3179773307574933,US
1948-12-01,Total Index,Total,14.2737,US
1948-12-01,Total Index Growth,Total Growth,-0.9328086284798088,US
1948-12-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-1.0444747787236364,US
1948-12-01,Final Products,Products,15.1799,US
1948-12-01,Final Products Growth,Products Growth,-0.9364762389547976,US
1948-12-01,Final Products 3mo3m Growth,Products 3mo3m Growth,-0.681643977588009,US
1948-12-01,Consumer Goods,Consumer Goods,20.4786,US
1948-12-01,Consumer Goods Growth,Consumer Goods Growth,-1.121631604613993,US
1948-12-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-0.6806429182285467,US
1948-12-01,Durable Consumer Goods,Consumer Goods,12.7575,US
1948-12-01,Durable Consumer Goods Growth,Consumer Goods Growth,-3.7525745196116063,US
1948-12-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-3.1480327533663477,US
1948-12-01,Automotive Products,Consumer Goods,12.6432,US
1948-12-01,Automotive Products Growth,Consumer Goods Growth,-1.512000186955209,US
1948-12-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,-2.4699939181054287,US
1948-12-01,Manufacturing Total,Manufacturing,13.1268,US
1948-12-01,Manufacturing Total Growth,Manufacturing Growth,-0.554545454545452,US
1948-12-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-0.9146615752171904,US
1948-12-01,Durable Manufacturing,Manufacturing,7.7153,US
1948-12-01,Durable Manufacturing Growth,Manufacturing Growth,-0.5606537093364894,US
1948-12-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,1.780346618479034,US
1948-12-01,Mining,Mining,51.5203,US
1948-12-01,Mining Growth,Mining Growth,-0.1331679233945171,US
1948-12-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-1.3937911843008854,US
1948-12-01,Electric and Gas Utilities,Utilities,7.7239,US
1948-12-01,Electric and Gas Utilities Growth,Utilities Growth,0,US
1948-12-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,2.8276433189079464,US
1949-01-01,Total Index,Total,14.1393,US
1949-01-01,Total Index Growth,Total Growth,-0.9415918787700428,US
1949-01-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-1.969039312106824,US
1949-01-01,Final Products,Products,14.9216,US
1949-01-01,Final Products Growth,Products Growth,-1.7015922371030112,US
1949-01-01,Final Products 3mo3m Growth,Products 3mo3m Growth,-1.9207807490094984,US
1949-01-01,Consumer Goods,Consumer Goods,20.2463,US
1949-01-01,Consumer Goods Growth,Consumer Goods Growth,-1.1343548875411336,US
1949-01-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-1.6729859109394618,US
1949-01-01,Durable Consumer Goods,Consumer Goods,12.3596,US
1949-01-01,Durable Consumer Goods Growth,Consumer Goods Growth,-3.11894963746816,US
1949-01-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-6.143753760658255,US
1949-01-01,Automotive Products,Consumer Goods,12.2064,US
1949-01-01,Automotive Products Growth,Consumer Goods Growth,-3.4548215641609703,US
1949-01-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,-5.935839421341759,US
1949-01-01,Manufacturing Total,Manufacturing,12.8828,US
1949-01-01,Manufacturing Total Growth,Manufacturing Growth,-1.8587926989060533,US
1949-01-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-1.7125897405045554,US
1949-01-01,Durable Manufacturing,Manufacturing,7.7879,US
1949-01-01,Durable Manufacturing Growth,Manufacturing Growth,0.9409873886951914,US
1949-01-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,1.1373715239735072,US
1949-01-01,Mining,Mining,50.2151,US
1949-01-01,Mining Growth,Mining Growth,-2.53337034139941,US
1949-01-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-2.404925189016605,US
1949-01-01,Electric and Gas Utilities,Utilities,7.6731,US
1949-01-01,Electric and Gas Utilities Growth,Utilities Growth,-0.6576988309014986,US
1949-01-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,1.903116474430444,US
1949-02-01,Total Index,Total,14.0049,US
1949-02-01,Total Index Growth,Total Growth,-0.9505421060448604,US
1949-02-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-2.472116266718183,US
1949-02-01,Final Products,Products,14.8069,US
1949-02-01,Final Products Growth,Products Growth,-0.7686843233969509,US
1949-02-01,Final Products 3mo3m Growth,Products 3mo3m Growth,-2.7346169673604592,US
1949-02-01,Consumer Goods,Consumer Goods,20.1689,US
1949-02-01,Consumer Goods Growth,Consumer Goods Growth,-0.38229207311953894,US
1949-02-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-2.359015473422577,US
1949-02-01,Durable Consumer Goods,Consumer Goods,12.1855,US
1949-02-01,Durable Consumer Goods Growth,Consumer Goods Growth,-1.4086216382407255,US
1949-02-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-7.635738763544175,US
1949-02-01,Automotive Products,Consumer Goods,12.4491,US
1949-02-01,Automotive Products Growth,Consumer Goods Growth,1.98830121903264,US
1949-02-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,-5.181635610239743,US
1949-02-01,Manufacturing Total,Manufacturing,12.8096,US
1949-02-01,Manufacturing Total Growth,Manufacturing Growth,-0.5681994597447781,US
1949-02-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-2.5123306110558574,US
1949-02-01,Durable Manufacturing,Manufacturing,7.7007,US
1949-02-01,Durable Manufacturing Growth,Manufacturing Growth,-1.1196856662258003,US
1949-02-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,0.18868576264454703,US
1949-02-01,Mining,Mining,50.009,US
1949-02-01,Mining Growth,Mining Growth,-0.4104343115915343,US
1949-02-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-2.601455480001591,US
1949-02-01,Electric and Gas Utilities,Utilities,7.6985,US
1949-02-01,Electric and Gas Utilities Growth,Utilities Growth,0.3310265733536655,US
1949-02-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,0.6642519973325323,US
1949-03-01,Total Index,Total,13.7361,US
1949-03-01,Total Index Growth,Total Growth,-1.919328235117701,US
1949-03-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-3.2298090720248696,US
1949-03-01,Final Products,Products,14.8069,US
1949-03-01,Final Products Growth,Products Growth,0,US
1949-03-01,Final Products 3mo3m Growth,Products 3mo3m Growth,-3.181387340539321,US
1949-03-01,Consumer Goods,Consumer Goods,20.3238,US
1949-03-01,Consumer Goods Growth,Consumer Goods Growth,0.7680141207502489,US
