Date,Short_Sector,Group,Value
1948-10-01,Automotive Products Growth,Consumer Goods Growth,8.79551202754556
1948-10-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,1.7252498375040837
1948-10-01,Manufacturing Total,Manufacturing,13.322
1948-10-01,Manufacturing Total Growth,Manufacturing Growth,0.18349175791119166
1948-10-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-0.5474616328117965
1948-10-01,Durable Manufacturing,Manufacturing,7.7879
1948-10-01,Durable Manufacturing Growth,Manufacturing Growth,2.2906678925592727
1948-10-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,0.6996313581954849
1948-10-01,Mining,Mining,52.4133
1948-10-01,Mining Growth,Mining Growth,1.1935491967386858
1948-10-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-1.2522093745364282
1948-10-01,Electric and Gas Utilities,Utilities,7.6477
1948-10-01,Electric and Gas Utilities Growth,Utilities Growth,1.00640559994718
1948-10-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,3.118211153024597
1948-11-01,Total Index,Total,14.4081
1948-11-01,Total Index Growth,Total Growth,-1.2893678534971253
1948-11-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-0.9183027232425589
1948-11-01,Final Products,Products,15.3234
1948-11-01,Final Products Growth,Products Growth,-1.1106450259752876
1948-11-01,Final Products 3mo3m Growth,Products 3mo3m Growth,-0.4948211876570685
1948-11-01,Consumer Goods,Consumer Goods,20.7109
1948-11-01,Consumer Goods Growth,Consumer Goods Growth,-1.1091905725963636
1948-11-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-0.861431734833551
1948-11-01,Durable Consumer Goods,Consumer Goods,13.2549
1948-11-01,Durable Consumer Goods Growth,Consumer Goods Growth,-3.7903477509780847
1948-11-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-2.345229142839189
1948-11-01,Automotive Products,Consumer Goods,12.8373
1948-11-01,Automotive Products Growth,Consumer Goods Growth,-7.029982618771724
1948-11-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,-3.5694762104375277
1948-11-01,Manufacturing Total,Manufacturing,13.2
1948-11-01,Manufacturing Total Growth,Manufacturing Growth,-0.9157784116499035
1948-11-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-0.6090316396928919
1948-11-01,Durable Manufacturing,Manufacturing,7.7588
1948-11-01,Durable Manufacturing Growth,Manufacturing Growth,-0.37365656980700157
1948-11-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,1.1419862262923353
1948-11-01,Mining,Mining,51.589
1948-11-01,Mining Growth,Mining Growth,-1.5726924273037568
1948-11-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-1.9879540052869626
1948-11-01,Electric and Gas Utilities,Utilities,7.7239
1948-11-01,Electric and Gas Utilities Growth,Utilities Growth,0.9963779959987873
1948-11-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,3.3179773307574933
1948-12-01,Total Index,Total,14.2737
1948-12-01,Total Index Growth,Total Growth,-0.9328086284798087
1948-12-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-1.0444747787236364
1948-12-01,Final Products,Products,15.1799
1948-12-01,Final Products Growth,Products Growth,-0.9364762389547976
1948-12-01,Final Products 3mo3m Growth,Products 3mo3m Growth,-0.681643977588009
1948-12-01,Consumer Goods,Consumer Goods,20.4786
1948-12-01,Consumer Goods Growth,Consumer Goods Growth,-1.121631604613993
1948-12-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-0.6806429182285467
1948-12-01,Durable Consumer Goods,Consumer Goods,12.7575
1948-12-01,Durable Consumer Goods Growth,Consumer Goods Growth,-3.7525745196116067
1948-12-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-3.1480327533663477
1948-12-01,Automotive Products,Consumer Goods,12.6432
1948-12-01,Automotive Products Growth,Consumer Goods Growth,-1.512000186955209
1948-12-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,-2.4699939181054287
1948-12-01,Manufacturing Total,Manufacturing,13.1268
1948-12-01,Manufacturing Total Growth,Manufacturing Growth,-0.554545454545452
1948-12-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-0.9146615752171905
1948-12-01,Durable Manufacturing,Manufacturing,7.7153
1948-12-01,Durable Manufacturing Growth,Manufacturing Growth,-0.5606537093364894
1948-12-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,1.780346618479034
1948-12-01,Mining,Mining,51.5203
